주사위,테마,몬스터 예시,환경 설명
1,불의 테마,"불타는 해골|화염 정령|잿불 망령|용암 사냥개","전장 곳곳에서 불꽃과 잔열이 살아 움직이듯 번진다. 열기는 시야를 일그러뜨리고, 검은 연기와 붉은 불씨가 호흡을 방해한다. 적들은 화염에 적응했거나 불길을 무기로 삼으며, 안전하다고 생각한 발밑조차 갑자기 타오를 수 있다."
2,독의 테마,"독액 슬라임|맹독 거미|독안개 포식자|부패 약초괴물","공기와 수분, 식물과 토양에 독성이 스며든 조우다. 녹색이나 보라색 기운이 낮게 깔리고, 숨을 들이쉴 때마다 목이 타들어가는 듯한 감각이 따라온다. 적들은 독을 분비하거나 독안개를 이용해 접근을 막고, 장기전으로 끌고 갈수록 위험해진다."
3,짐승의 테마,"잔향 늑대|거대 멧돼지|돌연변이 곰|광포한 사슴괴물","문명적인 전술보다 야생의 본능이 지배하는 조우다. 적들은 무리를 이루어 포위하거나, 냄새와 소리를 따라 집요하게 추적한다. 전장에는 발굽 소리, 으르렁거림, 나뭇가지가 부러지는 소리가 이어지며, 언제 어디서 돌진이 들어올지 알기 어렵다."
4,도적·산적의 테마,"산적 척후병|도적 궁수|용병 추적자|탐사물 약탈자","인간형 적이 탐사물과 보급품, 정보, 길목을 노리는 조우다. 적들은 괴물처럼 정면으로 달려들기보다 매복, 협박, 포위, 인질, 함정을 사용한다. 전투에는 탐사자의 원칙과 인간적인 이해관계가 섞이며, 적을 쓰러뜨리는 것보다 상황을 통제하는 것이 중요할 수 있다."
5,광기의 테마,"광기 신도|자아 붕괴자|검은 광기 전도자|웃는 변이체","정신을 갉아먹는 환청과 충동이 전장을 흔드는 조우다. 적들은 논리적인 명령보다 왜곡된 계시와 집착에 따라 움직이며, 고통과 공포를 신앙처럼 받아들인다. 전투 중에도 웃음소리, 속삭임, 익숙한 목소리의 환청이 이어져 아군의 판단력을 흐린다."
6,부패·살점의 테마,"부패 살점괴물|장기 덩어리|점액성 시체괴물|살점 벌레군","생물의 몸과 지형이 구분되지 않을 정도로 부패한 조우다. 축축한 살점, 썩은 냄새, 꿈틀거리는 조직이 감각을 압박한다. 적들은 찢어져도 다시 뭉치거나, 죽은 조직을 흡수해 회복하며, 전장은 혐오감과 생리적 공포를 중심으로 전개된다."
7,한기의 테마,"서리 망령|얼음 거미|한기 정령|동결된 시체병","냉기와 침묵이 몸을 잠식하는 조우다. 숨결은 하얗게 얼고, 금속은 손에 달라붙으며, 움직임은 점점 둔해진다. 적들은 냉기 저항이나 동결 능력을 지니며, 전투가 길어질수록 체온과 의지가 함께 깎여 나가는 압박이 생긴다."
8,번개의 테마,"전격 도마뱀|번개 정령|폭풍 매|전류 골렘","전류와 섬광이 불규칙하게 터지는 조우다. 번개는 예고 없이 지면을 타고 흐르거나 금속 장비에 반응한다. 적들은 빠르게 위치를 바꾸고, 순간적인 폭발력으로 전장을 끊어 놓으며, 플레이어는 안전한 위치를 계속 새로 판단해야 한다."
9,그림자·암흑의 테마,"그림자 추적자|암흑 망령|검은 가면 암살자|그림자 늑대","빛이 힘을 잃고 그림자가 두꺼워지는 조우다. 적들은 어둠 속에 몸을 숨기거나, 그림자 사이를 이동하며, 시야 밖에서 공격한다. 전장은 보이는 것보다 보이지 않는 것에 의해 지배되고, 작은 소리와 희미한 움직임이 중요한 단서가 된다."
10,환영·환각의 테마,"환영 거미|몽환 포식자|거짓 얼굴|잔향 환술사","현실과 착각이 뒤섞이는 조우다. 길이 있었던 곳이 벽처럼 보이고, 적이 있던 자리에 아군의 모습이 나타날 수 있다. 적들은 직접적인 피해보다 오판을 유도하며, 전투는 무엇을 믿을 수 있는지 확인하는 과정이 된다."
11,식물·덩굴의 테마,"식인 덩굴|가시나무 괴물|덩굴 포식자|기생 꽃망울","식물이 수동적인 배경이 아니라 능동적인 적으로 작동하는 조우다. 덩굴은 발목을 감고, 가시는 통로를 막으며, 꽃가루는 시야와 호흡을 방해한다. 적들은 지형과 구분되지 않게 숨어 있다가, 접근한 대상을 포획하거나 삼키려 든다."
12,혈액·피의 테마,"혈액 마수|피의 망령|혈액술사|붉은 살점괴물","피와 생명력이 전투의 중심이 되는 조우다. 바닥에는 마르지 않는 피가 흐르고, 적들은 상처와 출혈을 매개로 힘을 얻는다. 전투는 끈적하고 붉은 감각으로 가득하며, 생명력이 무기이자 제물이 되는 분위기를 만든다."
13,망령·유령의 테마,"떠도는 망령|고대 유령|죽은 탐사자 잔영|속삭이는 혼령","죽은 자의 흔적이 현재에 남아 있는 조우다. 적들은 물리적으로 명확하지 않거나, 과거의 기억과 감정을 반복한다. 전장에는 차가운 기운과 오래된 후회가 깔리며, 싸움은 때로 안식과 기억의 문제로 이어진다."
